gene	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj
VCAM1	0.002132114	0.631521739	2.371255807	0.348	0.1	1
KATNA1	0.002138696	0.63326087	1.22157757	0.37	0.1	1
EID3	0.002210172	0.611304348	1.530170028	0.261	0.04	1
ARHGAP26	0.002317031	0.674782609	0.943200159	0.761	0.64	1
NRG1	0.002335173	0.675869565	1.176543457	0.783	0.54	1
SERINC5	0.002350294	0.357826087	-1.201633861	0.13	0.42	1
BAZ1A	0.002368913	0.668478261	0.905660152	0.696	0.5	1
LPIN2	0.002431416	0.345217391	-0.996519431	0.261	0.56	1
PELI1	0.002454877	0.671304348	0.953301966	0.717	0.48	1
DNAJA2	0.002456482	0.610434783	1.366050648	0.261	0.04	1
ELL	0.002456482	0.610434783	1.366050648	0.261	0.04	1
SGPP2	0.002483958	0.633913043	1.893523372	0.37	0.12	1
NUP153	0.002559596	0.664347826	0.945207527	0.652	0.4	1
PHACTR4	0.002704131	0.342826087	-1.013188772	0.304	0.6	1
Ccdc15	0.002777745	0.337826087	-1.059614856	0.326	0.64	1
ATP13A3	0.002784462	0.346956522	-1.168466997	0.239	0.52	1
ZDHHC14	0.002912136	0.614565217	1.618545101	0.283	0.06	1
SPIDR	0.003030819	0.669565217	0.83691938	0.87	0.7	1
FAS	0.003061799	0.613913043	1.553253641	0.283	0.06	1
RBM39	0.00331817	0.333043478	-0.497618689	0.696	0.94	1
mikado.WCK01-AAH20201022-F8-rsc00348G2	0.003320203	0.34673913	-0.833094824	0.239	0.54	1
SMAD1	0.003394265	0.66173913	0.769607146	0.783	0.54	1
PTPRK	0.003486539	0.334565217	-0.942657672	0.457	0.7	1
GNA13	0.003530378	0.654130435	1.37529132	0.565	0.3	1
SCYL3	0.003534471	0.611956522	1.413075983	0.283	0.06	1
VIRMA	0.003651111	0.391304348	-1.405167255	0.043	0.26	1
STON2	0.0036897	0.346956522	-1.110485973	0.326	0.58	1
ELF2	0.003739827	0.645652174	1.10322072	0.5	0.24	1
KMT2A	0.003922521	0.35326087	-0.996519431	0.239	0.52	1
URGCP	0.003926941	0.39173913	-1.327164743	0.043	0.26	1
PPM1H	0.003971875	0.372608696	-1.331694402	0.109	0.36	1
ATP9B	0.003988881	0.339347826	-0.592218317	0.652	0.9	1
DDX5	0.004029511	0.33326087	-0.624386326	0.761	0.88	1
DNAJC13	0.004257117	0.649130435	0.893523372	0.609	0.34	1
SLC39A8	0.004487613	0.638043478	1.263747024	0.457	0.18	1
CAMKMT	0.004531746	0.347391304	-1.059614856	0.304	0.6	1
AUTS2	0.004534611	0.340217391	-1.015220737	0.457	0.68	1
CHMP5	0.004645292	0.613913043	1.38332864	0.304	0.08	1
CERS5	0.004683887	0.620434783	1.025435047	0.348	0.1	1
LOC114081927-2	0.004754991	0.345652174	-0.849117446	0.37	0.66	1
RPS6KB1	0.005014819	0.382608696	-1.234800725	0.087	0.32	1
FGF12	0.005151973	0.617391304	1.636309381	0.326	0.1	1
KLHL5	0.005169086	0.644130435	1.071384633	0.543	0.28	1
PKM	0.005286799	0.377173913	-1.058675907	0.109	0.36	1
SP100	0.005310237	0.646086957	0.790504021	0.609	0.32	1
PDE10A	0.005394514	0.65673913	0.893189685	0.761	0.5	1
FRAS1	0.005499814	0.390652174	-1.597562538	0.065	0.28	1
CDH5	0.00574697	0.377826087	-1.098540368	0.109	0.36	1
ACACA	0.005977806	0.359130435	-0.984403145	0.239	0.52	1
APOA1	0.006038185	0.36326087	-1.273783647	0.217	0.46	1
TDG	0.00608804	0.364347826	-0.966005613	0.217	0.48	1
ALB	0.006159368	0.381086957	-1.317111079	0.109	0.34	1
ZC3HAV1	0.006194485	0.63	1.533075759	0.413	0.18	1
mikado.WCK01-AAH20201022-F8-rsc00083G981	0.006207246	0.661304348	0.45313067	0.935	0.94	1
NFKBIZ	0.006351639	0.655	0.540297986	0.848	0.66	1
CLDN10	0.006356451	0.622391304	1.373274975	0.37	0.14	1
KAT6B	0.006403667	0.360217391	-1.027604461	0.261	0.52	1
JMJD1C	0.006504898	0.343043478	-0.640322629	0.826	0.88	1
CRIM1	0.006539512	0.653913043	1.018564347	0.696	0.48	1
CAST	0.006623157	0.356956522	-1.03869529	0.304	0.54	1
UBE2D3;UBE2D2	0.006750273	0.646521739	0.738987592	0.696	0.48	1
AIG1	0.006801418	0.637173913	0.960637568	0.5	0.24	1
CLK3	0.006820399	0.630434783	0.946757979	0.457	0.2	1
MRC1	0.006844352	0.382173913	-1.297849176	0.109	0.34	1
SLC23A1	0.006872823	0.601086957	1.257797757	0.261	0.06	1
Vamp9	0.006872823	0.601086957	1.257797757	0.261	0.06	1
BDP1	0.006878169	0.358478261	-0.941398089	0.283	0.56	1
TGFBR2	0.006924798	0.344130435	-0.654890683	0.609	0.84	1
HERC6	0.007112795	0.617173913	1.422857004	0.348	0.12	1
LUC7L	0.007176768	0.36173913	-0.832400052	0.261	0.54	1
TEK	0.007328414	0.356521739	-1.151880826	0.326	0.56	1
ANKRD7-6	0.007388523	0.349565217	-0.497618689	0.739	0.92	1
SLC38A10	0.007471313	0.600434783	1.17340557	0.261	0.06	1
USP43	0.007709557	0.622608696	1.153208856	0.391	0.16	1
MORF4L2	0.007752408	0.632826087	0.854219374	0.5	0.22	1
SLC16A7	0.00784015	0.383913043	-1.471240921	0.109	0.34	1
SNX30	0.007894765	0.357826087	-0.842552768	0.37	0.62	1
APOE	0.007991388	0.381304348	-1.228600909	0.13	0.36	1
TASOR	0.008173033	0.384347826	-1.076102979	0.109	0.34	1
NEDD4L	0.008210911	0.350652174	-1.242661129	0.522	0.68	1
SERPINA1	0.008265674	0.381304348	-1.201633861	0.13	0.36	1
ITGA2	0.008476667	0.350434783	-0.798669194	0.5	0.68	1
DCAF5	0.008523486	0.37	-0.696398553	0.196	0.48	1
DHX9	0.008581768	0.359130435	-0.750972452	0.37	0.64	1
GPR176	0.008618376	0.640652174	1.069962558	0.565	0.32	1
TIFA	0.008820094	0.612173913	1.596322363	0.326	0.12	1
TFPI2	0.00895314	0.631304348	1.38332864	0.457	0.24	1
ZNF292	0.00901542	0.365434783	-1.078777113	0.261	0.5	1
MINDY2	0.009108951	0.631304348	1.02075856	0.5	0.26	1
MAPKAPK2	0.00937098	0.602173913	1.167599948	0.283	0.08	1
SFMBT2	0.00941573	0.619130435	1.040440926	0.391	0.16	1
COX20	0.009575777	0.616086957	1.153208856	0.37	0.14	1
GRIP1	0.009662442	0.606521739	1.359081093	0.304	0.1	1
NOTCH2	0.009855586	0.618913043	1.200464582	0.391	0.16	1
LIPH	0.009855586	0.618913043	1.294791965	0.391	0.16	1
ANKRD12	0.009874266	0.649565217	0.538606865	0.935	0.8	1
HSPA9	0.009928855	0.381521739	-1.098540368	0.152	0.38	1
RFX3-2	0.009931582	0.356956522	-0.602387134	0.587	0.76	1
EPCAM	0.009953652	0.393478261	-1.097297201	0.087	0.3	1
NFIB	0.010123252	0.358478261	-0.875133036	0.5	0.7	1
LAP3	0.01036756	0.605434783	1.231325546	0.304	0.1	1
EIF5	0.010377909	0.617391304	0.98056947	0.391	0.16	1
MRTFA	0.0104084	0.640869565	0.652076697	0.717	0.46	1
KRT18	0.010419019	0.385217391	-1.044092584	0.13	0.36	1
AP2B1	0.010476683	0.634130435	0.672835257	0.674	0.42	1
ATG12-1	0.010656375	0.401956522	-1.201633861	0.065	0.26	1
RB1CC1	0.010670878	0.627391304	0.932221886	0.478	0.24	1
NEDD9	0.01067472	0.36326087	-0.61667136	0.348	0.6	1
C9orf85	0.010688213	0.395	-1.076102979	0.087	0.3	1
FAM241A	0.010720223	0.633913043	1.075704083	0.543	0.32	1
SRGAP1	0.010794192	0.360434783	-0.796650027	0.391	0.66	1
GOLM1	0.010848269	0.38	-1.082334933	0.174	0.4	1
SLC25A13	0.011318166	0.380217391	-1.243454037	0.174	0.4	1
PRRC2A	0.011456128	0.390217391	-0.928615367	0.109	0.34	1
TMCC3	0.011499012	0.626086957	1.215774543	0.457	0.24	1
HSD17B12	0.011540386	0.386956522	-0.868210127	0.13	0.36	1
FAM135A	0.011560468	0.402608696	-1.123631349	0.065	0.26	1
PPIL4	0.011607639	0.599347826	1.015596855	0.283	0.08	1
MAF	0.011838384	0.359782609	-0.594645054	0.37	0.7	1
DIP2C	0.012008775	0.359347826	-0.691018702	0.565	0.76	1
STAB1	0.012030135	0.365434783	-0.989714771	0.304	0.56	1
AGFG1	0.012128042	0.625652174	0.837894503	0.5	0.26	1
LDLRAD3	0.01279999	0.611086957	0.852813923	0.37	0.14	1
REV3L	0.013634735	0.368695652	-0.842552768	0.326	0.58	1
ARHGAP44	0.013779187	0.405434783	-0.945294108	0.065	0.26	1
FN1	0.013876179	0.400869565	-1.298931063	0.087	0.28	1
KDM1B	0.014017598	0.383043478	-0.633949352	0.174	0.42	1
SLFN5-1	0.014068995	0.62173913	1.621096287	0.435	0.24	1
ENO1	0.014252903	0.386086957	-0.928615367	0.152	0.38	1
ABI1	0.014487481	0.634782609	0.667360127	0.717	0.5	1
RPS6KC1	0.014598149	0.633043478	0.665099608	0.717	0.48	1
KLF12	0.014648049	0.40173913	-1.167686529	0.087	0.28	1
RGS17	0.014648049	0.40173913	-1.234800725	0.087	0.28	1
SEC22B	0.014648049	0.40173913	-1.167686529	0.087	0.28	1
RNF145	0.014879573	0.380217391	-1.045514659	0.217	0.44	1
DOCK9	0.015112075	0.629347826	0.876368651	0.565	0.36	1
mikado.WCK01-AAH20201022-F8-rsc00974G4	0.015265307	0.603695652	1.033582601	0.326	0.12	1
MYL12A	0.015279366	0.388695652	-0.868210127	0.152	0.38	1
SLC16A9	0.015358665	0.373478261	-1.496761897	0.283	0.5	1
MKKS	0.015445945	0.402608696	-1.097297201	0.087	0.28	1
IAH1	0.015555009	0.615652174	1.055753982	0.413	0.2	1
NDFIP1	0.015747224	0.38	-0.960625762	0.239	0.46	1
ADGRG6	0.015932391	0.628913043	0.923897021	0.565	0.32	1
mikado.WCK01-AAH20201022-F8-rsc00073G178	0.01596623	0.616521739	0.932221886	0.435	0.2	1
ETS1	0.016070092	0.361086957	-0.526324858	0.652	0.82	1
mikado.WCK01-AAH20201022-F8-rsc01103G3	0.016128465	0.619347826	0.932221886	0.457	0.24	1
MYRIP	0.016640419	0.38673913	-1.003694484	0.174	0.4	1
ITSN1	0.016722834	0.602173913	0.918105383	0.326	0.12	1
SMC5	0.016778808	0.373478261	-0.685384111	0.391	0.64	1
PARD3B	0.016850433	0.362391304	-0.528674879	0.717	0.88	1
RPL9	0.016875124	0.60826087	0.98056947	0.37	0.16	1
DAAM1	0.016878704	0.625652174	0.876368651	0.543	0.32	1
WBP4	0.017046092	0.403478261	-1.02329662	0.087	0.28	1
DHX36	0.017186915	0.376304348	-0.872326236	0.304	0.52	1
LOC114082795	0.017414227	0.591304348	1.087872756	0.261	0.08	1
PDE7B	0.017889728	0.381086957	-1.129843178	0.239	0.46	1
DTNA	0.017932377	0.369130435	-0.807102017	0.457	0.68	1
GPBP1	0.01804036	0.377608696	-0.8738292	0.261	0.52	1
IPO5	0.01810736	0.383913043	-0.649092838	0.196	0.46	1
ANKRD26;CCDC144A;LOC105375816	0.018122834	0.404782609	-1.008988783	0.087	0.28	1
RBP4	0.018136511	0.381521739	-1.027604461	0.239	0.46	1
mikado.WCK01-AAH20201022-F8-rsc00089G198	0.018246816	0.393043478	-1.044092584	0.152	0.36	1
SRSF2	0.018809125	0.375	-0.782681312	0.326	0.56	1
RUNX2	0.018820743	0.598695652	1.22157757	0.304	0.12	1
CEP57	0.019052434	0.590434783	1.003480569	0.261	0.08	1
ATG3	0.019052434	0.590434783	1.003480569	0.261	0.08	1
CASP3-1	0.019052434	0.590434783	1.003480569	0.261	0.08	1
IL13RA1	0.019101535	0.405652174	-0.938599455	0.087	0.28	1
MICU2	0.019105086	0.624565217	0.672835257	0.609	0.34	1
TARDBP	0.019171338	0.599782609	0.828113482	0.326	0.12	1
PITPNC1	0.019206716	0.388913043	-0.871485259	0.174	0.4	1
ADAM9	0.019475408	0.635652174	0.433768378	0.913	0.7	1
HNRNPC	0.019530208	0.629347826	0.595379117	0.761	0.54	1
DDX24	0.019770761	0.394565217	-0.928615367	0.152	0.36	1
IDO2	0.020030918	0.610434783	1.543793312	0.391	0.2	1
NOL8	0.020115721	0.397608696	-0.867214822	0.13	0.34	1
MEIS2	0.020200888	0.37173913	-0.894579043	0.391	0.62	1
RELB	0.02029227	0.612173913	0.853648574	0.435	0.22	1
MSRB3	0.020743684	0.611956522	1.10322072	0.413	0.22	1
IVNS1ABP-1	0.020865472	0.39	-1.06836733	0.196	0.4	1
ANXA2	0.02093295	0.619347826	0.854634358	0.5	0.3	1
TSC22D1	0.021025745	0.382608696	-0.832400052	0.261	0.48	1
DENND4C	0.021125943	0.37826087	-0.839063782	0.348	0.54	1
TF	0.021327655	0.383695652	-1.327164743	0.261	0.46	1
RMDN1	0.021610696	0.592391304	1.015596855	0.283	0.1	1
BMPER	0.02181582	0.388478261	-0.873011114	0.196	0.42	1
DYM	0.022128332	0.373043478	-0.583881425	0.457	0.74	1
NFAT5	0.022168182	0.373695652	-0.697742971	0.435	0.66	1
SSBP2	0.022230884	0.380217391	-0.676542816	0.304	0.54	1
FNBP4	0.022262886	0.384130435	-0.631318136	0.239	0.5	1
PSMD14	0.022272711	0.604782609	0.852813923	0.37	0.16	1
NRP2	0.022288082	0.380434783	-0.651436779	0.283	0.54	1
EIF4G3	0.022532995	0.630652174	0.47925306	0.913	0.84	1
IPO11	0.022607631	0.382173913	-0.83485153	0.304	0.52	1
UBAC2	0.022716388	0.387173913	-0.696398553	0.217	0.46	1
GNAI3	0.023128341	0.605652174	0.833990049	0.391	0.18	1
MFSD14A	0.023337231	0.404347826	-0.938599455	0.109	0.3	1
VAPA	0.023409969	0.396086957	-0.867214822	0.152	0.36	1
FKBP15	0.023697091	0.594782609	1.025435047	0.304	0.12	1
ITFG1	0.023701825	0.387608696	-0.914057271	0.239	0.44	1
GRHL2	0.023703422	0.410869565	-1.234800725	0.087	0.26	1
ATP10A	0.023752516	0.612173913	0.807826468	0.457	0.24	1
SAMD9L	0.024041615	0.591304348	0.935869663	0.283	0.1	1
PPP4R1	0.024416151	0.600869565	1.040440926	0.348	0.16	1
BICC1	0.024460422	0.372826087	-1.007157254	0.435	0.66	1
FAM71F1	0.02456852	0.397608696	-0.966005613	0.152	0.36	1
PARP4	0.024607228	0.597608696	1.033582601	0.326	0.14	1
TBK1	0.02470988	0.612826087	0.636309381	0.5	0.26	1
NFKBIA	0.025203304	0.616521739	0.874469118	0.522	0.3	1
PPA1	0.02521525	0.614565217	0.854634358	0.5	0.28	1
ZDHHC20	0.025351473	0.393913043	-0.869058522	0.196	0.4	1
EGFR	0.025355692	0.628478261	0.284866001	0.826	0.58	1
PDSS1	0.02552186	0.593478261	0.953644364	0.304	0.12	1
ZNF410	0.02552186	0.593478261	0.953644364	0.304	0.12	1
PEDS1-UBE2V1;PEDS1	0.02569405	0.406521739	-0.866030829	0.109	0.3	1
RRAS2	0.025964385	0.376304348	-0.647045009	0.457	0.62	1
TRA2B	0.025982266	0.384347826	-0.576029376	0.304	0.56	1
mikado.WCK01-AAH20201022-F8-rsc00234G586	0.026256502	0.601304348	0.853648574	0.37	0.16	1
TMEM30A	0.026317011	0.412608696	-1.02329662	0.087	0.26	1
BRIX1	0.026755327	0.596086957	0.96829114	0.326	0.14	1
LPGAT1	0.026801022	0.599130435	0.98056947	0.348	0.16	1
KALRN	0.026913447	0.396521739	-0.916231642	0.174	0.38	1
STAT3	0.027200575	0.626086957	0.540568381	0.761	0.58	1
ITGA6	0.028293228	0.39	-0.837061429	0.239	0.46	1
PRPF4B	0.028359113	0.374130435	-0.419409654	0.652	0.9	1
GTF2F1	0.028636405	0.413695652	-1.008988783	0.087	0.26	1
DUSP1	0.028636405	0.413695652	-1.008988783	0.087	0.26	1
TMEM131	0.028672395	0.383043478	-0.57261618	0.391	0.62	1
TOMM70	0.028680019	0.413478261	-0.945294108	0.087	0.26	1
FSD1L	0.028748048	0.59173913	0.899904165	0.304	0.12	1
SREBF2	0.028873264	0.592173913	0.878093331	0.304	0.12	1
NLE1	0.028873264	0.592173913	0.878093331	0.304	0.12	1
FGD6	0.028915371	0.624130435	0.521585726	0.761	0.58	1
CAMK2D	0.029275819	0.625869565	0.907202631	0.717	0.64	1
RBM5	0.029974521	0.386304348	-0.694673872	0.37	0.56	1
HSPD1-1	0.030211075	0.399782609	-0.974564953	0.174	0.36	1
PTPRE	0.030219953	0.399347826	-0.75802721	0.174	0.38	1
USP3	0.030386214	0.389565217	-0.791758067	0.283	0.48	1
FOXN3	0.030656704	0.389347826	-0.61667136	0.261	0.5	1
PPM1B	0.030746785	0.392391304	-0.696398553	0.239	0.46	1
MB21D2	0.030927457	0.590434783	0.828113482	0.304	0.12	1
TRIM24	0.030937785	0.38326087	-0.558955863	0.413	0.64	1
NAB1	0.031334022	0.590217391	0.605721061	0.304	0.12	1
RIPK1	0.031381258	0.60673913	0.788312474	0.457	0.26	1
SHOC2	0.031486773	0.396956522	-0.527034148	0.196	0.42	1
DCBLD1	0.031534798	0.399347826	-0.870427953	0.174	0.38	1
ST3GAL6	0.032033053	0.609565217	0.605721061	0.5	0.28	1
KLC1	0.032134104	0.595652174	0.852813923	0.348	0.16	1
PEX14	0.032288911	0.608913043	0.615502082	0.522	0.3	1
WBP1L	0.032339671	0.39826087	-0.766696804	0.196	0.4	1
PCDHAC1	0.033443439	0.404565217	-0.814610738	0.152	0.34	1
SNX2	0.034800922	0.391304348	-0.656199725	0.283	0.5	1
ARHGAP28	0.034854998	0.382608696	-0.594645054	0.435	0.66	1
EXOC3L4	0.034857648	0.594782609	1.05134688	0.348	0.16	1
NR2F2	0.03529726	0.41	-1.058675907	0.13	0.3	1
GPD2	0.035329042	0.591304348	0.784426948	0.326	0.14	1
SUCLG1	0.03547441	0.391304348	-0.644416351	0.304	0.52	1
HIPK3	0.035713067	0.603913043	0.736965594	0.457	0.26	1
ITGA1	0.035831287	0.379782609	-0.458606514	0.522	0.8	1
FAM222B	0.035862799	0.395217391	-0.520456045	0.239	0.48	1
CFAP43	0.035933755	0.582608696	1.015596855	0.261	0.1	1
MSL2	0.035933755	0.582608696	1.015596855	0.261	0.1	1
F11R	0.035940498	0.593913043	0.811190179	0.348	0.16	1
SMYD3	0.036245536	0.385434783	-0.599895648	0.391	0.58	1
MYLIP	0.036683976	0.403695652	-0.921525942	0.174	0.36	1
SOX4	0.036819585	0.417608696	-0.573602639	0.087	0.26	1
MCU	0.038008051	0.383695652	-0.742202243	0.543	0.66	1
SPATS2L	0.038134793	0.405652174	-0.386058432	0.152	0.36	1
ETF1	0.038272518	0.581521739	0.935869663	0.261	0.1	1
