p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.996939212833861	0.728	0.229	0	0	RGL1
0	0.991635027528757	0.64	0.155	0	0	STX3
0	0.991539893915796	0.624	0.144	0	0	SEMA6A
0	0.964729786695064	0.633	0.152	0	0	FAM241A
0	0.914505385087343	0.726	0.174	0	0	TEAD4
0	0.882862580592884	0.482	0.096	0	0	CLDN5
0	0.877931681951883	0.653	0.192	0	0	ABHD17B
0	0.654475964933964	0.477	0.088	0	0	CDH5
5.4219146463973e-298	1.39701680864175	0.646	0.197	1.09609426491568e-293	0	AKAP12
1.53705476799224e-295	0.94657819211729	0.794	0.284	3.10730991897312e-291	0	DLC1
1.07050281726509e-292	0.963281957465181	0.545	0.142	2.1641284953831e-288	0	EGFL7
5.50945554932662e-290	1.0391749896214	0.79	0.343	1.11379153385187e-285	0	SPTBN1
6.51604621774713e-280	1.10336643992617	0.596	0.18	1.31728390337976e-275	0	SASH1
1.94574168088023e-277	0.921532824208901	0.816	0.316	3.93351138206748e-273	0	PTPRM
7.71274402672509e-273	1.25598885222059	0.797	0.408	1.55920833244274e-268	0	ARHGAP26
3.33509918615771e-268	1.02732185888084	0.73	0.273	6.74223651473644e-264	0	mikado.WCK01-AAH20201022-F8-rsc00098G498
1.28891804434225e-263	0.89183103510727	0.504	0.134	2.60567671844229e-259	0	Gm4841;F830016B08Rik-1
9.76515035126172e-262	0.691913205645386	0.66	0.199	1.97412279501107e-257	0	PTPRB
7.38108918290651e-253	0.666616871306959	0.674	0.243	1.49216098921638e-248	0	DOCK1
1.03650921108602e-252	0.872093416047887	0.627	0.204	2.09540702113149e-248	0	ARHGAP28
1.78413661104526e-248	1.06303992024272	0.77	0.337	3.6068105728891e-244	0	NAV2
5.24297177740012e-248	0.527217022395495	0.426	0.09	1.05991917451921e-243	0	RASIP1
9.47176012520903e-241	0.98256375841709	0.838	0.424	1.91481102691226e-236	0	MAP4K4
8.76769692991663e-239	0.479973298111055	0.407	0.085	1.77247761135195e-234	0	ARAP3
3.27378630245904e-235	0.977308111801033	0.356	0.067	6.6182863890512e-231	0	GALNT18
5.15294148784961e-235	1.0469660160839	0.32	0.053	1.04171865118368e-230	0	RAPGEF4
1.55615814690074e-233	0.53132156004295	0.355	0.065	3.14592930977454e-229	0	KCNJ8
1.70248802384844e-233	1.13947105492195	0.498	0.138	3.44174978901201e-229	0	TFPI2
3.49575610434405e-232	0.477543710262031	0.329	0.055	7.06702054054193e-228	0	ZNF423
8.58563122581478e-227	0.700109439492291	0.733	0.294	1.73567120861072e-222	0	RBPMS
1.88369896874329e-223	1.10942280859735	0.774	0.378	3.80808583521143e-219	0	PLPP3
5.21498961441179e-222	0.59497050637606	0.306	0.049	1.05426230044949e-217	0	KCNN3
2.25384824606796e-220	0.402721093276326	0.281	0.04	4.55637961425099e-216	0	CLEC1A
3.96410512262168e-220	0.559577943754707	0.391	0.086	8.01383491589198e-216	0	FAM71F1
8.78065824265094e-216	0.524525717886499	0.436	0.107	1.77509787033431e-211	0	ERG
4.48280909073333e-212	0.921714797716856	0.619	0.239	9.0624468578265e-208	0	CAMK1D
7.54703848583776e-212	0.691739331946739	0.43	0.11	1.52570930029696e-207	0	TSPAN7
4.39575517776838e-211	0.564717729267051	0.571	0.189	8.88645866737655e-207	0	DGKH
2.12639368146817e-210	1.09689180718032	0.376	0.085	4.29871746645605e-206	0	VCAM1
3.29607133207919e-210	0.647682642429312	0.491	0.144	6.6633378049313e-206	0	PDLIM1
2.07996669459942e-209	0.711862439556411	0.774	0.382	4.20486066980219e-205	0	PTPN12
8.8876821483824e-209	0.75415833168389	0.377	0.085	1.79673382311699e-204	0	MYCT1
2.60750305704765e-208	0.833219031087562	0.76	0.373	5.27132818012752e-204	0	UGCG
5.0128255404765e-208	0.817730047218668	0.728	0.314	1.01339281126273e-203	0	FMNL2
4.22387084750226e-206	0.701046436162872	0.565	0.194	8.53897730531057e-202	0	KLF7
3.56480587564028e-204	0.91955419962874	0.561	0.209	7.20661155819439e-200	0	Ccdc15
3.90327478390976e-198	0.779225826992074	0.736	0.354	7.89086030315197e-194	0	TTC28
1.94505715792197e-196	0.77248063579953	0.691	0.316	3.93212755045506e-192	0	PECAM1
9.09438586676901e-195	0.448521254990437	0.324	0.064	1.83852104682602e-190	0	ACKR3
1.51798777299928e-186	0.312437407363529	0.254	0.038	3.06876408189534e-182	0	SEMA3F
4.80505592774228e-185	0.69313734397805	0.475	0.152	9.71390106352379e-181	0	LOC114081927-2
2.66370018214475e-183	0.744906115027221	0.702	0.329	5.38493628822382e-179	0	CHST11
5.58714904098205e-183	1.09744856351435	0.435	0.13	1.12949805012493e-178	0	MEIS2
9.53603712224656e-182	0.824545760515759	0.852	0.433	1.92780526463337e-177	0	SLC28A3
1.10901818317697e-177	0.500381381877693	0.353	0.086	2.24199115911056e-173	0	JCAD
1.52302712988598e-177	0.6174390843677	0.305	0.063	3.07895164577751e-173	0	BMP6
6.65273385810049e-177	0.960299967668386	0.441	0.139	1.3449166767536e-172	0	MYH10
7.56842721160345e-177	0.845742989640196	0.56	0.214	1.53003324509775e-172	0	LOC114103596
4.49086099660672e-176	0.489503871560013	0.399	0.109	9.07872459074015e-172	0	ARHGAP31
3.50221550828954e-175	0.966019807595114	0.735	0.403	7.08007887155814e-171	0	TGFBR2
1.56946579893784e-174	0.574164911552876	0.463	0.144	3.17283205913274e-170	0	BATF2
4.2380993460573e-174	1.04940300152974	0.552	0.225	8.56774163798943e-170	0	PDE4D-1
8.30172389100435e-174	1.36813264443141	0.62	0.295	1.67827650180544e-169	0	LOC114078893
2.1223489585628e-172	0.375638617374637	0.316	0.069	4.29054065463056e-168	0	ARHGAP23
1.21036685920073e-171	0.363720865227642	0.282	0.054	2.44687764256019e-167	0	ANO5
3.61839193596569e-171	0.995487564495911	0.577	0.232	7.31494113774824e-167	0	CRIM1
3.03958555804854e-168	0.75169871027237	0.719	0.369	6.14482616415094e-164	0	SMAD1
6.56683575056602e-168	1.01536324543898	0.263	0.048	1.32755151533443e-163	0	FGF23
2.38795630454838e-166	0.931461024083351	0.76	0.432	4.82749246527501e-162	0	SLC4A7
4.0240021760968e-166	1.10670091220379	0.659	0.325	8.13492279919729e-162	0	mikado.WCK01-AAH20201022-F8-rsc00038G1088
5.18478442895239e-166	0.814636458308272	0.518	0.194	1.04815602015701e-161	0	RASGRP3
1.05976431911911e-163	0.510787247381835	0.394	0.114	2.1424195475312e-159	0	mikado.WCK01-AAH20201022-F8-rsc00161G252
8.65390576023477e-163	0.552468534499192	0.477	0.164	1.74947358848906e-158	0	TIAM1
1.96258963599842e-162	0.569032251400685	0.405	0.121	3.96757120813441e-158	0	KLHL4
4.45396595399499e-161	0.896795157150821	0.59	0.251	9.00413757259628e-157	0	PHACTR1
6.20980377138643e-161	0.521789218587508	0.478	0.153	1.25537393042348e-156	0	ADGRF5
1.70870164312986e-160	0.591497451031418	0.476	0.167	3.45431124175133e-156	0	DCLK2
2.31380605105673e-160	0.495086968037959	0.393	0.115	4.67759031281629e-156	0	ADGRE1
7.00063368750425e-159	0.517365680796879	0.561	0.222	1.41524810626586e-154	0	YBX3
1.77598923355773e-158	0.413601017552549	0.279	0.058	3.5903398345603e-154	0	MGAT4A-1
2.64694289173352e-158	0.557085321666023	0.602	0.245	5.35105974992848e-154	0	ARHGAP10
4.02702008047722e-156	0.545338939138438	0.707	0.319	8.14102379469275e-152	0	DOCK4
2.02248437842795e-155	0.629613395708486	0.647	0.319	4.08865441942994e-151	0	SP100
2.4101472659509e-154	0.577876328788314	0.64	0.297	4.87235371284633e-150	0	ZFHX3
6.68040021799932e-152	0.48062877519954	0.522	0.2	1.35050970807074e-147	0	CAMSAP2
1.79695567740524e-150	0.421449961057334	0.328	0.084	3.63272559744244e-146	0	FGFR1
4.41862691005953e-148	0.318071819100472	0.29	0.066	8.93269616137634e-144	0	BACE2
3.15579685902452e-147	0.556953524007515	0.485	0.179	6.37975893020396e-143	0	NRP2
6.19264752175141e-147	0.396450923156232	0.37	0.109	1.25190562299726e-142	0	TNS2
1.37348900237384e-146	0.746573451718585	0.736	0.434	2.77664536719895e-142	0	ACER3
6.52727911074773e-146	0.848016830491544	0.378	0.12	1.31955474502876e-141	0	CA8
2.50943396736833e-145	0.703516233620189	0.725	0.403	5.07307170843182e-141	0	GLS
3.45956672197267e-145	0.941549477835784	0.359	0.108	6.99386008513995e-141	0	CXCL10
9.89065186720155e-145	0.861753992465559	0.381	0.12	1.99949418147347e-140	0	SLC8A1
1.41269534955551e-144	0.713003107384469	0.47	0.181	2.85590491866142e-140	0	IRGM
1.04139379873224e-143	0.633019631547707	0.267	0.058	2.1052817035171e-139	0	IDO1-1
2.99658203111186e-143	1.21763481553393	0.374	0.119	6.05789023409573e-139	0	SLC16A9
3.49321042169228e-143	0.381177380713615	0.326	0.086	7.06187418849311e-139	0	MB21D2
6.56794601739303e-143	0.663994685089467	0.287	0.07	1.32777596687617e-138	0	BICD1
9.01225845085847e-142	0.657640594134879	0.432	0.145	1.82191816842555e-137	0	PCDH17
8.17565659250998e-141	0.573593761599627	0.438	0.156	1.65279073674182e-136	0	SRGAP1
5.1560122172178e-139	0.357762562749175	0.314	0.083	1.04233942983275e-134	0	RALB
7.11671331522191e-139	0.576987422350368	0.572	0.256	1.43871476380526e-134	0	CADPS2
8.99510499428236e-139	0.503041195269574	0.446	0.159	1.81845042564412e-134	0	NXN
9.79793638661526e-139	0.455069261084652	0.444	0.157	1.98075081991814e-134	0	IRF8
4.13286998788256e-138	0.688104169632979	0.643	0.326	8.35500996750338e-134	0	FLNB
1.71067780368646e-137	0.435174674223375	0.398	0.131	3.45830624793255e-133	0	PLEKHO1
2.85150585952216e-137	0.603409474344441	0.868	0.585	5.76460424561001e-133	0	ETV6
1.5717809591366e-136	0.7765677292686	0.256	0.057	3.17751238699056e-132	0	IDO1
1.88481035307018e-135	0.398354827056352	0.396	0.131	3.81033260976668e-131	0	ZFP57
2.3744431497981e-135	0.402088915756195	0.279	0.067	4.80017427163184e-131	0	DISC1
2.975401717974e-135	0.636501246594883	0.4	0.136	6.01507211305623e-131	0	WWTR1
4.75898164942784e-134	0.513199812728435	0.624	0.288	9.62075730248332e-130	0	MYO1B
8.13942612971918e-134	0.417598920293767	0.328	0.093	1.64546638638403e-129	0	PALM2AKAP2
1.01166077615228e-132	0.66097889438192	0.485	0.193	2.04517342506945e-128	0	IGFBP7
5.20855196014886e-132	0.537825297396337	0.27	0.065	1.05296086426369e-127	0	mikado.WCK01-AAH20201022-F8-rsc00381G276
2.18411658552971e-131	0.656477716218518	0.585	0.291	4.41541008930687e-127	0	TNIP1
2.2193751902557e-131	0.471132945642785	0.387	0.13	4.48668888462092e-127	0	GRAMD1A
2.31138869870348e-130	0.552744942735289	0.625	0.3	4.67270339329896e-126	0	IGF1R
6.17824903683329e-130	0.623114036432237	0.319	0.091	1.24899482528622e-125	0	THBS1
2.01245617813077e-128	0.503554249120489	0.344	0.107	4.06838140970917e-124	0	EVA1C
2.77761250354923e-128	0.879909127688593	0.723	0.434	5.61522143717512e-124	0	CAMK2D
6.91267438933697e-125	0.743781946326286	0.66	0.352	1.39746625454836e-120	0	SETBP1
1.31954145316254e-119	0.626128081434445	0.674	0.332	2.6675850017134e-115	0	RBMS3
2.11226333208733e-119	0.457498569602044	0.572	0.27	4.27015155214774e-115	0	PGS1
3.10567796747295e-119	0.429693899468465	0.457	0.184	6.27843857904332e-115	0	CDC42BPA
5.41593393331512e-119	0.52703109562282	0.529	0.237	1.09488520395898e-114	0	SRGAP2
1.05680986405826e-117	0.301525251129562	0.266	0.069	2.13644682118017e-113	0	WASF3
1.386143839105e-117	0.345670073502584	0.351	0.114	2.80222838513466e-113	0	CLIC2
2.42981474276063e-116	0.400492252880572	0.441	0.174	4.91211348396489e-112	0	GNA12
4.38912504207205e-116	0.435786101802613	0.509	0.228	8.87305518505286e-112	0	CHD7
4.51920698355987e-115	0.419476441824449	0.408	0.154	9.13602883796463e-111	0	EPN2
4.87858626751942e-113	0.480906208375047	0.398	0.152	9.86254999841726e-109	0	LOC106145280-1
1.6854733994962e-112	0.359677971044539	0.287	0.083	3.40735302442152e-108	0	Ifi47
1.76677727018266e-112	0.557517446793155	0.672	0.379	3.57171692940126e-108	0	CTNNA1
1.99259225082153e-112	0.529589182883542	0.541	0.257	4.0282244942608e-108	0	PKP4
4.37970838318292e-111	1.02796931684332	0.435	0.182	8.85401846744259e-107	0	SERPINE1
5.50694727689494e-111	0.492413820758225	0.529	0.25	1.11328446149708e-106	0	ATP11C
1.17161075447039e-109	0.485508839350899	0.784	0.48	2.36852830123735e-105	0	TRIO
1.72600608314978e-108	0.52214117719809	0.834	0.598	3.4892938976956e-104	0	EIF4G3
2.01450976015831e-108	0.647338955878594	0.791	0.537	4.07253293113605e-104	0	NFKB1
3.28677429949187e-107	0.435238330063134	0.428	0.174	6.64454292385276e-103	0	CPNE8
5.06373183978301e-107	0.401931545497104	0.52	0.234	1.02368402873053e-102	0	EPB41L2
1.09065705531698e-106	0.499103894497902	0.561	0.277	2.2048723030288e-102	0	FILIP1L
1.27446924347604e-106	0.503232248117081	0.565	0.278	2.57646702261116e-102	0	SMAD3
1.50087391206096e-106	0.738854725260403	0.362	0.133	3.03416670062243e-102	0	Cspg4b
2.46272019056637e-106	0.321518394591349	0.289	0.088	4.97863513724897e-102	0	TTL
2.57148413217111e-106	0.569769993854562	0.288	0.09	5.19851232159711e-102	0	PDE7B
2.73209564593523e-106	0.627390108728361	0.523	0.248	5.52320455782267e-102	0	PHLDB2
2.75696592564633e-106	0.69489694743409	0.691	0.407	5.57348231528662e-102	0	RALGAPA2
3.06558180470364e-106	0.513074269150207	0.568	0.277	6.19738017638887e-102	0	MAST4
6.01011286388081e-105	0.612429900082432	0.619	0.347	1.21500441656214e-100	0	PELI1
8.14943144375909e-105	0.451634206626615	0.308	0.1	1.64748906067034e-100	0	PLEKHG1
2.69614350474599e-104	0.71360766384854	0.304	0.098	5.45052370919449e-100	0	BMPER
3.90927167617622e-104	0.418016163717227	0.322	0.107	7.90298362055784e-100	0	TIFA
1.65191942095624e-103	0.513269901599331	0.378	0.14	3.33952030140514e-99	0	TEK
3.94809861376579e-103	0.536461375428447	0.547	0.263	7.98147615758892e-99	0	CCSER1
3.05137143307666e-102	0.3073966191178	0.25	0.069	6.16865248910778e-98	0	BCR
5.09276149838249e-102	0.377745600431385	0.475	0.212	1.029552664513e-97	0	NCKAP1
6.17585171415408e-100	0.376600580881933	0.507	0.237	1.24851018253339e-95	0	MPRIP
9.42899850232821e-100	0.421010792975421	0.509	0.239	1.90616633723067e-95	0	ARHGAP32
1.46899428683452e-98	0.434024761146334	0.282	0.088	2.96971885026466e-94	0	DNAH12
5.44117441697915e-98	0.80205911544952	0.653	0.404	1.09998782013651e-93	0	ZEB1
3.24917649651237e-97	0.407018721122178	0.608	0.33	6.56853520534941e-93	0	PTK2
4.31906970204506e-97	0.723772018195361	0.775	0.55	8.73143130965429e-93	0	RFX3
4.39801382773006e-97	0.421792626590435	0.27	0.082	8.89102475413909e-93	0	ESM1
2.1490957745523e-96	0.456839520825983	0.361	0.14	4.34461201783493e-92	0	SLC12A2
2.76280836770864e-96	0.498639689578217	0.814	0.53	5.5852933961598e-92	0	APP
7.3307287438876e-96	0.32939659502413	0.336	0.122	1.48198012286432e-91	0	PXN
3.12416532400386e-94	0.302333122709044	0.45	0.192	6.31581261900621e-90	0	LUZP1
7.0682651484894e-94	0.478258308680751	0.853	0.663	1.42892048241862e-89	0	MED13L
1.81617111125208e-93	0.318451554033291	0.329	0.12	3.6715715185072e-89	0	CCNYL1
2.37364457037952e-93	0.456389793393943	0.47	0.213	4.79855986347924e-89	0	DYSF
1.16609204326065e-92	0.481394151557109	0.693	0.437	2.35737167465573e-88	0	UVRAG
2.06035732973408e-92	0.302933934675088	0.28	0.092	4.16521837779042e-88	0	GABBR1
7.19024550451179e-92	0.436210766338557	0.678	0.407	1.4535800311921e-87	0	STK3
3.5293336064343e-91	0.287733511414093	0.266	0.084	7.13490081876757e-87	0	FEZ2
9.20176901976238e-91	0.534196057750325	0.356	0.145	1.86022962503516e-86	0	ABCC9
1.05023908319333e-90	0.488761959901508	0.306	0.108	2.12316333058364e-86	0	mikado.WCK01-AAH20201022-F8-rsc00006G556
1.20173434990327e-90	0.278104205581918	0.274	0.089	2.42942616176446e-86	0	LTA4H
1.10116829042248e-89	0.5931252506695	0.692	0.423	2.22612181591809e-85	0	MYO1D
1.42136317624691e-89	0.417357594900072	0.463	0.215	2.87342779710075e-85	0	TJP2
1.49193021194437e-89	0.480620523345203	0.556	0.308	3.01608611646674e-85	0	CTNNB1
7.71368275317967e-89	0.352201015437293	0.405	0.176	1.5593981053828e-84	0	KLHL2
8.66873082462395e-89	0.357857363840935	0.392	0.165	1.75247062350598e-84	0	LRRC8C
3.13621482754909e-88	0.472380765460402	0.482	0.226	6.34017189537324e-84	0	mikado.WCK01-AAH20201022-F8-rsc00098G443
3.94746676004519e-88	0.447450401162494	0.599	0.339	7.98019880210736e-84	0	CBFB
9.44619847474828e-88	0.618867019342257	0.663	0.434	1.90964348365511e-83	0	DLG1
1.7940542521699e-87	0.512968759555023	0.6	0.326	3.62686007618667e-83	0	CD55
2.93299217287916e-87	0.53092607857512	0.475	0.242	5.92933697669251e-83	0	LRIG2
6.48081356378459e-87	0.397405268034865	0.649	0.376	1.31016127005469e-82	0	PAM
9.96320291484155e-87	0.405619585093112	0.552	0.293	2.01416110126437e-82	0	ARHGEF11
3.013571219855e-85	0.429343177272591	0.452	0.22	6.09223557805887e-81	0	PCGF5
6.50241197246492e-85	0.332730070560644	0.43	0.197	1.31452760435351e-80	0	TRIM44
1.0436305399974e-84	1.01318480497397	0.478	0.25	2.10980349965875e-80	0	GBP2;GBP3;GBP1
2.57018654091988e-84	0.470281664701276	0.324	0.128	5.19588911112362e-80	0	CPE
3.51128663001375e-84	0.323843400184283	0.37	0.155	7.0984170512358e-80	0	PRKD3
2.07292404723761e-83	0.527402941737652	0.578	0.335	4.19062325389556e-79	0	BMPR2
2.1841548718621e-83	0.297826031049252	0.264	0.086	4.41548748895642e-79	0	FLT4
4.15634562274061e-83	0.457337057907395	0.456	0.225	8.40246831093243e-79	0	ARHGAP21
1.01090591997723e-82	0.359328093318323	0.405	0.18	2.04364740782597e-78	0	PARVA
1.275377433602e-82	0.342782635851492	0.274	0.095	2.57830301976981e-78	0	PCDHAC1
1.27761020066015e-82	0.502466537098914	0.38	0.165	2.58281678165457e-78	0	Tlr13
3.70718552656757e-82	0.448447045194845	0.55	0.303	7.49444626050899e-78	0	LOC114087073;LOC114081646
1.13959921966233e-81	0.377154103641	0.339	0.138	2.30381378246937e-77	0	OSBPL10
8.36473365031203e-81	0.321099037303443	0.316	0.123	1.69101455474708e-76	0	LAP3
2.82164806702655e-79	0.377677937251181	0.342	0.142	5.70424373230087e-75	0	DCBLD1
3.6556996835977e-79	0.446687040963992	0.45	0.229	7.39036248036111e-75	0	EIF2AK2
3.85811451711101e-79	0.379374476758874	0.272	0.096	7.79956430779163e-75	0	GAS7
3.95571681119088e-79	0.332551691258283	0.298	0.113	7.99687710550349e-75	0	RNF24
2.91070901627265e-78	0.27320444245361	0.287	0.105	5.88428934729679e-74	0	STXBP1
3.92117950525409e-78	0.381355711009218	0.53	0.283	7.92705648782166e-74	0	TRIM24
5.85663922736584e-77	0.423286147791748	0.525	0.293	1.18397818620428e-72	0	MAPK8
1.51753058520528e-76	0.380237055246395	0.572	0.328	3.06783983105099e-72	0	DNAJC13
1.55303924450166e-76	0.431838950132814	0.493	0.254	3.13962413668456e-72	0	ITGAV
2.86602389633882e-76	0.346971650328479	0.407	0.192	5.79395390883856e-72	0	PPP1R13B
1.66573294191946e-75	0.292190350496147	0.356	0.151	3.36744571538438e-71	0	PTPRE
3.16556667161489e-75	0.375254836071217	0.451	0.222	6.39950958333666e-71	0	MAML3
4.9670453674103e-75	0.386864715002971	0.394	0.185	1.00413789147567e-70	0	NOD1
5.32602401271212e-75	0.401234408383851	0.473	0.25	1.07670901440988e-70	0	LRRC8D
1.34405024321844e-74	0.260601132217409	0.308	0.122	2.7171319716904e-70	0	mikado.WCK01-AAH20201022-F8-rsc00917G1
3.04062246406248e-74	0.420532704585761	0.696	0.462	6.14692237334871e-70	0	HGSNAT
7.41548718792603e-74	0.358937626951887	0.297	0.115	1.49911488991113e-69	0	FAM171A1
9.69362528705076e-73	0.371894699885072	0.304	0.123	1.95966328803018e-68	0	STON2
2.52436159286856e-72	0.415232862798979	0.87	0.645	5.10324939614308e-68	0	ZSWIM6
3.83741468608871e-72	0.342275420715873	0.252	0.088	7.75771752939694e-68	0	ST6GALNAC3
1.03626602642698e-70	0.409910016940954	0.338	0.146	2.09491539902478e-66	0	NT5E
1.28944599310917e-70	0.386475672335652	0.755	0.518	2.6067440196695e-66	0	RAPGEF2
1.41672542733654e-70	0.374285882419913	0.354	0.16	2.86405212390355e-66	0	RASSF8
1.71442862959083e-70	0.355849113599776	0.577	0.329	3.46588891758082e-66	0	GAB2
2.76655631764939e-70	0.538391161145035	0.37	0.169	5.59287025176e-66	0	HDAC9
3.77925374668877e-70	0.273244358702141	0.29	0.114	7.64013937430601e-66	0	SLC28A3-1
4.09791563070931e-70	0.428751420207035	0.541	0.314	8.28434623904194e-66	0	PPFIBP1-1
4.49601296688771e-69	0.371681319551483	0.339	0.15	9.08913981386019e-65	0	NR5A2
4.5328519448843e-69	0.283803941015496	0.306	0.126	9.1636134917781e-65	0	CASP10
4.70802153346375e-69	0.429761774839469	0.356	0.161	9.51773633205031e-65	0	RARB
7.94316015953307e-69	0.267053378496785	0.345	0.152	1.60578925785121e-64	0	LRP6
1.06348103072667e-67	0.460685530696906	0.532	0.314	2.14993325171703e-63	0	SNX13
1.97826628675682e-67	0.506695455692061	0.706	0.471	3.99926312530758e-63	0	ETS1
2.05149279368313e-67	0.307284919597926	0.334	0.148	4.14729783170982e-63	0	PHC2
5.30300191492994e-67	0.252083173285379	0.493	0.253	1.07205486712224e-62	0	TANC1
6.74515523311874e-67	0.34574657824679	0.494	0.273	1.36360058192728e-62	0	Cep170
1.41066928801812e-66	0.531155730684812	0.312	0.131	2.85180903265744e-62	0	HECW2
2.82894222762316e-66	0.380629047986291	0.325	0.142	5.71898960736297e-62	0	FAT1
4.30968419473363e-66	0.329173715081814	0.4	0.197	8.71245756807352e-62	0	PHACTR2
1.89237538296259e-65	0.349705230292286	0.681	0.444	3.82562607419717e-61	0	ARHGEF12
1.6375916073342e-64	0.361474572727258	0.398	0.192	3.31055519338683e-60	0	WARS1
6.35222607919126e-64	0.367044763893633	0.782	0.581	1.28416602416931e-59	0	SPAG9
1.34040284927338e-63	0.288391933396878	0.358	0.169	2.70975840009107e-59	0	FMNL3
2.38085674925839e-63	0.295846191272281	0.292	0.123	4.81314000430077e-59	0	PPA1
2.59389206943503e-63	0.251661309472852	0.282	0.112	5.24381220756986e-59	0	LYVE1
5.71780163057247e-63	0.339976342191872	0.467	0.246	1.15591077763653e-58	0	NCOA7
1.0977952048816e-62	0.273934656156585	0.292	0.123	2.21930278618864e-58	0	RNF19B
1.61878200419007e-62	0.359092592039028	0.55	0.329	3.27252969967065e-58	0	BMP2K
4.44981118779203e-62	0.588665513813235	0.459	0.267	8.99573829724037e-58	0	Epsti1
6.91278837400761e-62	0.303775490981752	0.286	0.122	1.39748929768938e-57	0	KLF3
1.4046825469879e-61	0.437293506362753	0.482	0.27	2.83970623699074e-57	0	PLXNA2
1.76705793982445e-61	0.277832552315722	0.355	0.167	3.5722843311491e-57	0	CCDC88A
6.01190386674988e-61	0.289095582241944	0.412	0.208	1.21536648570215e-56	0	WWC2
6.85145262753119e-61	0.27220810077365	0.337	0.157	1.3850896631817e-56	0	CLEC16A
6.85175139074777e-61	0.315825618035844	0.52	0.305	1.38515006115357e-56	0	G3BP1
1.31103759817216e-60	0.370702311852085	0.503	0.293	2.65039360846483e-56	0	ABL2
1.49711821406044e-59	0.285361495929246	0.274	0.112	3.02657418154458e-55	0	OIT3
1.77605599238861e-59	0.332004980365155	0.328	0.151	3.59047479421282e-55	0	TMCC3
3.33680105679801e-59	0.316589753528943	0.515	0.288	6.74567701642286e-55	0	FERMT2
7.60579370094008e-59	0.373663299540025	0.736	0.54	1.53758725458205e-54	0	SRRM2
1.69562236649471e-58	0.284374528276048	0.427	0.23	3.4278701761057e-54	0	TIA1
5.2731919981309e-58	0.26582661839004	0.333	0.155	1.06602849434214e-53	0	ZNRF1
7.44584825188238e-58	0.454483298509647	0.346	0.172	1.50525268260054e-53	0	GBP6
8.30060123154206e-58	0.425732101531005	0.621	0.399	1.67804954496854e-53	0	RBMS1
3.19624800691689e-57	0.45952279741575	0.527	0.322	6.46153497078319e-53	0	GNA13
8.25905424313089e-57	0.327353217068554	0.288	0.128	1.66965040579134e-52	0	SLC29A2
8.97311188804519e-57	0.31509479444916	0.352	0.162	1.81400429928722e-52	0	KDR
1.94394326545652e-56	0.306864748762873	0.486	0.287	3.9298757054469e-52	0	DDX39B
2.60501589048729e-56	0.280507396875006	0.356	0.178	5.2663001242091e-52	0	LMBR1
2.82391172583483e-56	0.346283270857406	0.671	0.454	5.7088199449477e-52	0	NCOA3
6.7579022708263e-56	0.415054211058908	0.365	0.189	1.36617752307024e-51	0	RANBP17
1.07307352952796e-54	0.287549841758728	0.428	0.229	2.16932544729373e-50	0	MYO10
1.88689340990788e-54	0.278808094848707	0.34	0.168	3.81454371746977e-50	0	MFN1
1.97704231066119e-54	0.331074646450599	0.507	0.311	3.99678873523267e-50	0	CALU
